#All the are expressed in picoFarad
#c1	c_equivalent	
36.0547	13.9444
9.05517	9.75808
76.678	16.2504
85.0123	16.5221
60.0532	15.5582
45.7582	14.72
45.4156	14.6961
25.4678	12.7886
58.749	15.4929
42.8017	14.5056
39.5529	14.249
91.6451	16.7117
72.7426	16.1068
1.23627	7.19437
51.0647	15.0657
70.5069	16.0202
28.214	13.1288
11.8651	10.4455
42.4417	14.4783
16.0755	11.3186
91.8719	16.7179
79.901	16.3604
22.5478	12.3879
50.3625	15.0226
50.5456	15.0339
33.6246	13.7131
52.7138	15.1641
54.3797	15.2595
3.60801	8.09807
53.8034	15.2269
30.5632	13.3953
42.5935	14.4899
90.1929	16.672
63.4877	15.7214
68.3965	15.9348
54.7638	15.281
1.2155	7.18585
73.3147	16.1283
37.3778	14.0633
10.4941	10.122
5.57287	8.75548
28.9063	13.2096
72.7624	16.1075
44.5235	14.6326
71.1347	16.0449
90.232	16.6731
26.8621	12.9654
90.5746	16.6826
63.09	15.7031
29.7486	13.3053
98.3632	16.8838
72.5589	16.0998
11.5929	10.383
57.9643	15.4527
69.2191	15.9685
84.5089	16.5068
92.0738	16.7233
46.7338	14.7872
32.9752	13.6483
39.0427	14.2065
13.9754	10.904
10.1124	10.028
30.5916	13.3984
81.7197	16.4196
14.1844	10.947
95.2353	16.806
95.2663	16.8068
9.50258	9.87408
39.4954	14.2442
91.415	16.7055
16.4763	11.3935
50.2061	15.0128
14.4366	10.9984
43.2206	14.5371
77.3882	16.2752
73.6251	16.1399
15.051	11.1212
8.06695	9.4922
96.0295	16.8261
19.1864	11.8677
38.9998	14.2029
60.6721	15.5885
16.33	11.3663
65.2136	15.7989
25.2961	12.7662
96.0878	16.8276
91.2747	16.7017
57.0655	15.4058
56.0384	15.3509
89.7431	16.6595
57.918	15.4503
1.68837	7.37707
1.4554	7.28358
2.64735	7.74786
52.3944	15.1453
35.3246	13.8767
93.9186	16.7721
82.6525	16.4493
52.1385	15.1302
95.0087	16.8002
89.9175	16.6644
88.0884	16.6127
52.5999	15.1574
50.2667	15.0166
82.671	16.4498
74.4621	16.1709
2.13687	7.55324
84.2245	16.4981
67.5424	15.8992
76.9724	16.2607
94.5779	16.7892
84.8266	16.5165
28.3756	13.1478
93.769	16.7682
21.9149	12.2951
84.0262	16.492
24.4061	12.6479
56.6638	15.3845
39.5858	14.2517
17.5643	11.5903
97.0905	16.8526
6.07297	8.91136
1.23934	7.19563
55.3658	15.3143
80.3485	16.3751
69.1381	15.9652
34.5844	13.8066
18.3791	11.732
62.029	15.6535
99.1582	16.903
75.105	16.1943
22.7232	12.4132
74.084	16.157
73.0203	16.1173
5.90628	8.85989
12.7973	10.6536
43.9049	14.5876
71.2395	16.049
80.3526	16.3753
47.3168	14.8265
72.2621	16.0885
7.08512	9.214
47.0141	14.8061
67.8201	15.9109
95.731	16.8186
68.6964	15.9472
56.9917	15.4019
72.0791	16.0815
41.2602	14.3868
98.6042	16.8897
8.9987	9.74325
76.03	16.2275
17.2344	11.5316
96.5975	16.8404
48.057	14.8755
64.9664	15.788
