#All the are expressed in picoFarad
#c1	c_equivalent	
64.1791	14.4851
77.7137	14.9351
13.0828	10.1135
28.9524	12.311
63.2936	14.451
89.2285	15.2362
84.2693	15.1141
37.0297	13.0177
57.0424	14.1901
18.3987	11.017
51.6882	13.9342
10.7323	9.63488
65.101	14.5199
61.2427	14.3695
28.1374	12.2284
68.8507	14.6546
11.0709	9.70739
24.0855	11.7795
15.8208	10.6062
15.3171	10.5203
66.6676	14.5775
72.8277	14.7866
37.5338	13.056
65.1187	14.5206
46.6134	13.6576
61.3783	14.375
69.8627	14.6892
14.8567	10.4399
48.3736	13.7577
95.6888	15.3805
38.3868	13.1195
17.5466	10.8864
63.673	14.4657
57.6635	14.2178
70.6853	14.7168
58.7826	14.2665
3.79836	7.8108
21.6883	11.4794
59.4066	14.2932
98.3854	15.4364
11.6846	9.83562
28.7046	12.2862
43.5603	13.4724
87.5026	15.1949
90.7404	15.2714
85.6733	15.1497
56.5956	14.17
44.4731	13.5294
95.4921	15.3764
16.981	10.797
85.1405	15.1363
29.3265	12.3482
59.7022	14.3057
68.6258	14.6469
46.4472	13.6479
77.8908	14.9402
48.36	13.7569
7.45373	8.86133
32.4349	12.6389
3.01677	7.55404
90.3484	15.2623
83.4754	15.0935
70.8939	14.7238
84.9618	15.1318
33.3944	12.7226
36.1945	12.9528
96.5668	15.399
28.4521	12.2606
52.6793	13.9841
76.7066	14.9056
61.9913	14.3997
26.8977	12.0981
73.5584	14.8097
40.8786	13.2961
5.28164	8.2649
23.8071	11.746
30.4294	12.4548
82.8684	15.0776
29.5497	12.3701
61.0499	14.3616
12.6793	10.0353
34.7455	12.8363
85.6211	15.1484
21.207	11.4156
50.5678	13.8762
37.8041	13.0763
21.4816	11.4521
21.1142	11.4031
67.0393	14.5909
94.3362	15.3516
52.5939	13.9798
4.17604	7.93039
8.98099	9.23874
87.9791	15.2064
48.4438	13.7616
27.267	12.1376
92.722	15.3161
64.9734	14.5151
51.4717	13.9231
34.1501	12.7868
4.55517	8.04766
50.8691	13.8919
16.4042	10.7034
63.9637	14.4769
15.5567	10.5614
68.6619	14.6481
48.4449	13.7617
2.78394	7.47503
40.2507	13.2528
85.1436	15.1364
49.0625	13.7956
64.0293	14.4794
58.2215	14.2422
73.2628	14.8004
49.3693	13.8123
24.0131	11.7708
37.116	13.0243
33.9015	12.7659
3.60253	7.74766
55.15	14.1034
64.3233	14.4906
89.4817	15.2421
95.9749	15.3866
82.9226	15.079
94.9572	15.3649
53.6965	14.0341
55.8042	14.1338
45.0163	13.5626
93.2227	15.3272
50.7284	13.8846
36.4239	12.9708
45.2033	13.574
41.6348	13.3472
96.2454	15.3923
85.6666	15.1496
5.82458	8.42117
69.3456	14.6717
74.4394	14.8372
17.2228	10.8355
66.3891	14.5674
3.55218	7.7313
65.3459	14.529
15.1964	10.4994
19.3024	11.1505
18.2189	10.9899
13.205	10.1369
65.9303	14.5506
64.1059	14.4823
26.5352	12.0589
64.027	14.4793
68.4683	14.6414
10.346	9.55062
60.3784	14.3339
88.2942	15.214
84.1563	15.1112
21.5383	11.4596
64.0476	14.4801
45.6626	13.6016
46.997	13.6798
24.0492	11.7751
60.8477	14.3533
75.3858	14.8661
54.3616	14.0661
36.3896	12.9681
70.922	14.7247
7.07803	8.76345
22.0038	11.5205
66.6389	14.5765
69.9854	14.6934
57.1092	14.1931
79.4433	14.9845
10.645	9.61598
48.9821	13.7912
67.9285	14.6225
92.9273	15.3207
68.9656	14.6586
72.2863	14.7692
54.9422	14.0937
60.4245	14.3359
88.1958	15.2116
21.7314	11.485
44.827	13.5511
52.678	13.984
45.1942	13.5734
34.1081	12.7833
75.4489	14.868
61.0158	14.3602
38.6102	13.1359
36.783	12.9987
89.2081	15.2357
90.382	15.2631
23.1371	11.6641
5.83231	8.42336
44.6446	13.5399
45.9996	13.6216
1.31279	6.9468
92.3421	15.3077
26.2424	12.0268
96.3629	15.3947
22.6764	11.6065
72.9973	14.792
35.2319	12.876
13.9323	10.2733
37.2335	13.0332
21.9377	11.5119
39.681	13.2128
50.0647	13.8496
5.77422	8.40689
36.3575	12.9656
89.0201	15.2312
14.8011	10.4301
24.6971	11.8517
49.4659	13.8175
83.1675	15.0855
92.2007	15.3045
43.3837	13.4611
84.9756	15.1321
21.8829	11.5048
33.3743	12.7209
49.9039	13.841
21.0681	11.3969
12.144	9.92906
6.25153	8.54057
12.9663	10.0911
34.7948	12.8403
41.6182	13.346
74.9228	14.852
77.6667	14.9338
37.7539	13.0725
4.14003	7.91911
94.8861	15.3634
99.6789	15.4624
11.9289	9.88558
22.6681	11.6054
55.9185	14.1391
4.42544	8.00785
50.4429	13.8696
26.8474	12.0927
31.8276	12.5844
44.3685	13.5229
34.1343	12.7855
95.7227	15.3812
2.71995	7.45311
94.0517	15.3454
11.6808	9.83483
79.029	14.9728
7.06661	8.76044
41.1679	13.3157
35.6535	12.9099
32.4424	12.6395
54.6944	14.082
42.6118	13.4115
27.4536	12.1573
12.4715	9.99437
55.5134	14.1204
85.6137	15.1482
59.454	14.2952
79.3219	14.981
16.4761	10.7152
39.6081	13.2077
48.853	13.7842
87.0439	15.1837
61.1284	14.3648
61.0596	14.362
74.5458	14.8404
41.545	13.3411
86.4688	15.1695
44.6231	13.5386
48.9319	13.7885
22.6817	11.6072
62.3755	14.415
24.1193	11.7835
36.7742	12.998
44.3753	13.5233
8.44126	9.10898
32.6724	12.6598
64.7242	14.5058
98.9924	15.4487
44.1564	13.5098
70.6771	14.7166
5.92011	8.44814
7.72794	8.93147
5.35196	8.28543
51.8889	13.9444
12.4323	9.98661
59.903	14.3141
81.2439	15.0342
95.1952	15.37
39.5927	13.2066
32	12.6
19.68	11.2047
74.3656	14.8349
48.1554	13.7455
54.4789	14.0717
4.14056	7.91928
38.6466	13.1385
42.6775	13.4158
39.5336	13.2024
41.9392	13.3674
53.4433	14.0218
47.7931	13.7252
38.9445	13.1602
87.2454	15.1886
10.5133	9.58732
98.6437	15.4416
38.6471	13.1386
50.8543	13.8912
30.0063	12.4144
21.5931	11.4668
63.66	14.4652
79.4022	14.9833
4.18982	7.93471
60.849	14.3534
86.5834	15.1724
86.0395	15.1589
79.499	14.986
16.1239	10.657
79.4529	14.9847
11.9136	9.88247
2.72861	7.45608
15.3201	10.5208
85.059	15.1342
21.9505	11.5136
80.2616	15.0072
56.572	14.1689
64.0846	14.4815
79.1228	14.9754
50.0597	13.8493
60.4282	14.336
91.4921	15.2885
41.7535	13.3551
96.3834	15.3952
44.232	13.5145
14.2374	10.3291
83.5467	15.0954
44.3066	13.5191
44.9361	13.5578
12.1161	9.92345
77.2105	14.9205
42.0247	13.3731
82.3512	15.0639
45.2018	13.5739
6.33201	8.56274
17.6812	10.9074
81.0078	15.0277
85.8027	15.153
5.92947	8.45078
41.8801	13.3635
79.4078	14.9835
54.2806	14.0623
11.9323	9.88627
72.6923	14.7823
63.6107	14.4633
72.2203	14.7671
91.6729	15.2926
34.9194	12.8506
24.167	11.7892
82.4934	15.0677
40.1263	13.2441
11.6431	9.82707
57.4083	14.2065
6.31624	8.55841
16.2601	10.6796
33.8329	12.7601
33.4222	12.725
38.7241	13.1442
90.7225	15.2709
63.2548	14.4495
84.0968	15.1096
5.21964	8.24673
74.7574	14.8469
63.8291	14.4717
14.8033	10.4305
71.613	14.7474
45.2409	13.5762
71.4154	14.7409
43.1877	13.4487
93.1542	15.3257
25.4081	11.9335
43.3515	13.4591
50.1171	13.8524
44.6652	13.5412
69.9995	14.6939
32.0234	12.6021
5.06395	8.20081
51.3368	13.9161
9.23458	9.29841
42.0284	13.3733
94.8936	15.3636
53.4768	14.0234
22.7555	11.6165
8.75908	9.18585
56.0892	14.1469
22.5111	11.5856
18.8384	11.0826
3.76563	7.8003
72.5598	14.778
80.7793	15.0215
74.6818	14.8446
12.6038	10.0205
13.3552	10.1654
98.804	15.4449
30.7816	12.4881
62.1239	14.405
17.0854	10.8136
43.8801	13.4925
45.9875	13.6209
46.0069	13.622
41.3824	13.3302
96.6856	15.4015
62.7767	14.4308
16.2979	10.6859
15.6453	10.5765
65.501	14.5348
16.3596	10.6961
13.3899	10.172
75.417	14.8671
88.5389	15.2198
84.5948	15.1224
90.1821	15.2585
89.5569	15.2439
5.06219	8.20029
95.1521	15.3691
49.3687	13.8123
38.3824	13.1192
29.9191	12.406
64.5477	14.4991
12.6529	10.0301
15.5138	10.5541
87.16	15.1865
40.7221	13.2854
75.3764	14.8658
88.2415	15.2127
41.9589	13.3687
82.0279	15.0553
44.3161	13.5197
68.8874	14.6559
41.9709	13.3695
3.15498	7.60038
92.4486	15.3101
20.6837	11.3448
64.3027	14.4898
4.38058	7.994
75.7571	14.8773
42.9932	13.4362
41.3254	13.3264
91.69	15.293
39.7601	13.2184
57.3648	14.2045
54.7211	14.0832
21.1687	11.4104
57.1075	14.193
83.3524	15.0903
55.6992	14.129
52.3518	13.9677
3.96126	7.86273
82.2453	15.0611
76.0192	14.8852
44.689	13.5427
34.6385	12.8275
19.6903	11.2062
88.3236	15.2147
65.9393	14.551
24.9497	11.881
92.3734	15.3084
39.2668	13.1834
92.0773	15.3017
85.2136	15.1382
33.998	12.774
32.5249	12.6468
82.4173	15.0657
2.3688	7.33116
97.6746	15.4219
4.07671	7.89921
36.7633	12.9972
50.7774	13.8871
84.7414	15.1262
35.5145	12.8988
99.9115	15.467
3.11489	7.58698
29.6413	12.379
23.3571	11.6912
60.5579	14.3414
12.4387	9.98788
2.42008	7.34914
56.4695	14.1643
85.1112	15.1356
40.8034	13.2909
94.345	15.3518
72.1892	14.7661
21.1922	11.4136
50.8261	13.8897
32.2335	12.6209
89.1141	15.2335
77.1605	14.919
49.4791	13.8182
92.8071	15.318
38.8359	13.1523
60.2824	14.33
43.2923	13.4553
98.4126	15.437
18.9625	11.1009
49.8038	13.8357
71.0805	14.7299
46.8021	13.6686
3.66278	7.76717
94.3111	15.351
84.8628	15.1293
12.8464	10.0678
38.7236	13.1441
66.0932	14.5566
20.9142	11.3762
49.8149	13.8363
80.1974	15.0055
7.55094	8.88632
9.1535	9.27942
85.7553	15.1518
39.2605	13.1829
69.6686	14.6827
91.0839	15.2792
2.66147	7.43299
37.7391	13.0714
43.5134	13.4694
99.5947	15.4607
67.6248	14.6118
82.7829	15.0754
76.7116	14.9058
16.8455	10.7752
24.2154	11.7949
23.18	11.6694
36.8316	13.0024
3.28364	7.64315
25.6674	11.9628
66.3538	14.5661
22.693	11.6086
80.9488	15.0261
13.3587	10.1661
78.5065	14.9579
82.3831	15.0648
71.8521	14.7552
11.8069	9.86072
97.9863	15.4283
70.7417	14.7187
71.2261	14.7347
1.28255	6.93539
6.75883	8.67863
55.5649	14.1228
44.3076	13.5191
14.2383	10.3292
20.803	11.3611
2.91064	7.51817
75.5556	14.8712
33.8272	12.7596
32.3847	12.6344
19.1437	11.1274
90.8901	15.2748
2.00486	7.20175
92.1776	15.304
33.3747	12.7209
11.7902	9.85729
92.8616	15.3192
82.3502	15.0639
83.4507	15.0929
29.5817	12.3732
16.3105	10.688
6.1031	8.4994
47.9171	13.7322
11.9953	9.89906
53.0005	14
44.2629	13.5164
67.3138	14.6007
14.7745	10.4254
85.7777	15.1523
52.8758	13.9939
9.35716	9.32696
2.12585	7.24512
5.95997	8.45936
16.9114	10.7858
54.4842	14.072
22.9128	11.6362
67.3452	14.6018
48.683	13.7748
23.0901	11.6583
13.4757	10.1882
19.2676	11.1454
67.5101	14.6077
17.9846	10.9542
55.3276	14.1117
44.281	13.5175
59.8169	14.3105
68.1844	14.6315
57.7753	14.2227
47.5316	13.7104
92.8183	15.3183
81.7874	15.0488
53.1085	14.0053
23.5437	11.7141
73.502	14.8079
62.0902	14.4036
46.5971	13.6567
28.0159	12.2159
17.4602	10.8729
52.4424	13.9723
78.4885	14.9574
48.4542	13.7622
